time , step-size , {controllerFMU}.controller.fanSpeed , {controllerFMU}.controller.valveOpen , {environmentFMU}.env.OAT_OUT , {environmentFMU}.env.RAT_OUT , {roomFMU}.room.RAT , {wallFMU}.wall.Tisurf
189.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.05821449644809 , 14.910432583900908
190.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.08780763010439 , 14.904779461660667
191.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.117051951743704 , 14.899127599326496
192.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.14595153011545 , 14.89347699805621
193.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.17451038651892 , 14.887827659004772
194.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.20273249535717 , 14.88217958332411
195.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.230621784682484 , 14.876532772163353
196.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.258182136739926 , 14.870887226668668
197.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.28541738849881 , 14.865242947983347
198.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.31233133218029 , 14.859599937247733
199.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.338927715782724 , 14.853958195599331
200.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.36521024359382 , 14.848317724172752
201.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.39118257670143 , 14.842678524099714
202.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.4168483334986 , 14.837040596509024
203.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.44221109018008 , 14.831403942526656
204.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.46727438123569 , 14.825768563275702
205.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.49204169993459 , 14.820134459876376
206.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.51651649880908 , 14.814501633446037
207.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.54070219012591 , 14.808870085099223
208.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.564602146359675 , 14.803239815947533
209.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.588219700654506 , 14.79761082709981
210.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.611558147282906 , 14.791983119662005
211.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.63462074209984 , 14.786356694737249
212.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.65741070299056 , 14.780731553425825
213.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.67993121031334 , 14.775107696825234
214.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.70218540733685 , 14.769485126030078
215.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.724176400673876 , 14.763863842132219
216.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.74590726070623 , 14.758243846220575
217.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.76738102200976 , 14.752625139381399
218.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.788600683772174 , 14.74700772269806
219.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.809569210202376 , 14.741391597251155
220.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.83028953094258 , 14.735776764118476
221.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.85076454146829 , 14.730163224375014
222.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.87099710348965 , 14.724550979092976
223.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.89099004534141 , 14.718940029341798
224.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.910746162375794 , 14.713330376188095
225.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.93026821734576 , 14.707722020695766
226.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.94955894078396 , 14.702114963925892
227.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.968621031380906 , 14.696509206936819
228.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 36.9874571563544 , 14.69090475078412
229.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.00606995181707 , 14.685301596520482
230.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.024462023139186 , 14.679699745196219
231.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.04263594530805 , 14.674099197858517
232.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.06059426328051 , 14.66849995555195
233.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.078339492335346 , 14.66290201931836
234.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.09587411841732 , 14.657305390196838
235.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.113200598480496 , 14.651710069223768
236.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.13032136082613 , 14.64611605743279
237.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.14723880543655 , 14.640523355854802
238.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.16395530430597 , 14.634931965518009
239.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.180473201766205 , 14.629341887447953
240.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.196794814810126 , 14.623753122667361
241.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.21292243340884 , 14.618165672196406
242.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.22885832082922 , 14.612579537052344
243.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.24460471394301 , 14.6069947182499
244.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.26016382353625 , 14.601411216801086
245.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 37.27553783461332 , 14.595829033715239
