time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
325.0,1.0,1.0E-7,1.0E-7,5.56,0.0,15.970872663554111
326.0,1.0,1.0E-7,1.0E-7,5.558760000018785,0.0,15.970698060007257
327.0,1.0,1.0E-7,1.0E-7,5.434760000018898,0.0,15.97052296603757
328.0,1.0,1.0E-7,1.0E-7,5.310760000019011,0.0,15.970347381897806
329.0,1.0,1.0E-7,1.0E-7,5.186760000019124,0.0,15.970171307840747
330.0,1.0,1.0E-7,1.0E-7,5.062760000019237,0.0,15.969994744104334
331.0,1.0,1.0E-7,1.0E-7,4.938900000017165,0.0,15.96981769091169
332.0,1.0,1.0E-7,1.0E-7,4.828900000017264,0.0,15.969640148471166
333.0,1.0,1.0E-7,1.0E-7,4.718900000017365,0.0,15.969462116976374
334.0,1.0,1.0E-7,1.0E-7,4.608900000017465,0.0,15.969283596606237
335.0,1.0,1.0E-7,1.0E-7,4.498900000017565,0.0,15.969104587526715
336.0,1.0,1.0E-7,1.0E-7,4.3907799999874735,0.0,15.96892508989083
337.0,1.0,1.0E-7,1.0E-7,4.468779999987403,0.0,15.968745103838698
